from,to,relation
hpr,fh,1
hpr,mf,1
hpr,me,1
hpr,cw,1
hpr,gs,1
hpr,rhl,1
hpr,rvp,1
hpr,pg,1
hpr,mvh,1
hpr,mr,1
hpr,pr,1
hpr,rr,1
hpr,bmw,1
fh,hpr,1
fh,mf,1
fh,me,1
fh,cw,1
fh,gs,1
fh,rhl,1
fh,rvp,1
fh,pg,1
fh,mvh,1
fh,mr,1
fh,pr,1
fh,rr,1
fh,bmw,1
mf,hpr,1
mf,fh,1
mf,me,1
mf,cw,1
mf,gs,1
mf,rhl,1
mf,rvp,1
mf,pg,1
mf,mvh,1
mf,mr,1
mf,pr,1
mf,rr,1
mf,bmw,1
me,hpr,1
me,fh,1
me,mf,1
me,cw,1
me,gs,1
me,rhl,1
me,rvp,1
me,pg,1
me,mvh,1
me,mr,1
me,pr,1
me,rr,1
me,bmw,1
cw,hpr,1
cw,fh,1
cw,mf,1
cw,me,1
cw,gs,1
cw,rhl,1
cw,rvp,1
cw,pg,1
cw,mvh,1
cw,mr,1
cw,pr,1
cw,rr,1
cw,bmw,1
gs,hpr,1
gs,fh,1
gs,mf,1
gs,me,1
gs,cw,1
gs,rhl,1
gs,rvp,1
gs,pg,1
gs,mvh,1
gs,mr,1
gs,pr,1
gs,rr,1
gs,bmw,1
rhl,hpr,1
rhl,fh,1
rhl,mf,1
rhl,me,1
rhl,cw,1
rhl,gs,1
rhl,rvp,1
rhl,pg,1
rhl,mvh,1
rhl,mr,1
rhl,pr,1
rhl,rr,1
rhl,bmw,1
rvp,hpr,1
rvp,fh,1
rvp,mf,1
rvp,me,1
rvp,cw,1
rvp,gs,1
rvp,rhl,1
rvp,pg,1
rvp,mvh,1
rvp,mr,1
rvp,pr,1
rvp,rr,1
rvp,bmw,1
pg,hpr,1
pg,fh,1
pg,mf,1
pg,me,1
pg,cw,1
pg,gs,1
pg,rhl,1
pg,rvp,1
pg,mvh,1
pg,mr,1
pg,pr,1
pg,rr,1
pg,bmw,1
mvh,hpr,1
mvh,fh,1
mvh,mf,1
mvh,me,1
mvh,cw,1
mvh,gs,1
mvh,rhl,1
mvh,rvp,1
mvh,pg,1
mvh,mr,1
mvh,pr,1
mvh,rr,1
mvh,bmw,1
mr,hpr,1
mr,fh,1
mr,mf,1
mr,me,1
mr,cw,1
mr,gs,1
mr,rhl,1
mr,rvp,1
mr,pg,1
mr,mvh,1
mr,pr,1
mr,rr,1
mr,bmw,1
pr,hpr,1
pr,fh,1
pr,mf,1
pr,me,1
pr,cw,1
pr,gs,1
pr,rhl,1
pr,rvp,1
pr,pg,1
pr,mvh,1
pr,mr,1
pr,rr,1
pr,bmw,1
rr,hpr,1
rr,fh,1
rr,mf,1
rr,me,1
rr,cw,1
rr,gs,1
rr,rhl,1
rr,rvp,1
rr,pg,1
rr,mvh,1
rr,mr,1
rr,pr,1
rr,bmw,1
bmw,hpr,1
bmw,fh,1
bmw,mf,1
bmw,me,1
bmw,cw,1
bmw,gs,1
bmw,rhl,1
bmw,rvp,1
bmw,pg,1
bmw,mvh,1
bmw,mr,1
bmw,pr,1
bmw,rr,1
cw,afd,3
gs,afd,3
rhl,afd,3
rvp,ksk,3
mvh,ksk,3
mr,mf,4
bmw,afd,3
me,nda,3
rvp,nda,3
pr,nda,3